date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,windspeed_10m_max,temp_anomaly,water_balance,cumulative_water_balance,aridity_index,temp_rolling_12m,precip_rolling_12m,SPI_12_z,SPEI_12_z
2002-12-01,12.970967741935485,16.654838709677417,9.922580645161291,99.7,53.0,255.05,21.448387096774194,-4.506769194607763,46.7,-918.4199999999998,0.531062124248497,17.604299155145927,457.8,-1.2791379784516341,-1.089192705143674
2003-01-01,10.925806451612903,13.838709677419354,8.574193548387097,189.6,51.980000000000004,259.12,25.76774193548387,-6.551930484930345,137.62,-780.7999999999998,0.2740115972588298,17.68682603686636,601.4,-0.07809891190467587,-0.21519617738393548
2003-02-01,9.971428571428572,13.675,6.767857142857143,109.6,55.410000000000004,340.9,19.99285714285714,-7.506308365114677,54.18999999999999,-726.6099999999999,0.5051048313582499,17.58890937019969,698.7,0.7356970572806942,0.44550063120724276
2003-03-01,13.096774193548388,17.903225806451612,8.90967741935484,21.2,90.63,562.9300000000001,17.93548387096774,-4.3809627429948605,-69.42999999999999,-796.0399999999998,4.254929577464789,17.560683563748082,680.6,0.5843126066922543,0.38131264258919395
2003-04-01,14.936666666666667,19.276666666666664,11.023333333333333,112.9,103.31,636.48,19.19333333333333,-2.541070269876581,9.590000000000003,-786.4499999999998,0.9142477876106195,17.566516897081414,765.3000000000001,1.292724925191749,1.00016655792502
2003-05-01,17.42258064516129,21.883870967741935,13.09032258064516,53.1,126.93,759.15,17.90967741935484,-0.055156291381958766,-73.83000000000001,-860.2799999999999,2.3859022556390976,17.446893241167434,795.0,1.541129244665597,1.402130683369194
2003-06-01,24.516666666666666,30.040000000000003,18.71333333333333,0.4,175.41,809.98,16.686666666666667,7.038929730123417,-175.01,-1035.29,350.82,17.525226574500767,794.1,1.5336018410451777,1.455238970962527
2003-07-01,27.187096774193545,32.57741935483871,21.738709677419354,0.0,197.14000000000001,826.86,18.374193548387098,9.709359837650297,-197.14000000000001,-1232.43,1971.4,17.7582910906298,792.2,1.5177106556242919,1.360721074511456
2003-08-01,27.845161290322583,33.483870967741936,22.187096774193545,0.2,184.35,736.89,17.86774193548387,10.367424353779334,-184.15,-1416.5800000000002,614.4999999999999,18.04108678955453,757.3,1.2258146707880178,0.9727458453331249
2003-09-01,23.233333333333334,28.19,18.946666666666665,16.1,126.52,571.6,17.923333333333336,5.755596396790086,-110.41999999999999,-1527.0000000000002,7.809876543209875,18.084142345110088,752.1,1.1823230054255938,0.9821543065384705
