date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,windspeed_10m_max,temp_anomaly,aridity_index,water_balance,cumulative_water_balance,temp_rolling_12m,precip_rolling_12m
2007-10-01,18.809677419354838,22.919354838709676,15.432258064516128,132.0,2.6812903225806455,13.67225806451613,18.200000000000003,0.9833338069975994,0.02029742863422139,129.31870967741935,3116.1074112505958,17.69181899641577,677.8000000000001
2007-11-01,12.92,16.943333333333335,9.786666666666667,141.79999999999998,1.6956666666666667,9.958,15.54,-4.906343612357238,0.011949729856706602,140.10433333333333,3256.211744583929,17.38181899641577,799.3
2007-12-01,10.59032258064516,14.361290322580645,7.522580645161291,47.6,1.476451612903226,8.675806451612903,15.606451612903227,-7.2360210317120774,0.030952864002164064,46.123548387096776,3302.335292971026,17.262732974910396,724.1999999999999
2008-01-01,10.45483870967742,15.345161290322581,6.661290322580645,25.400000000000002,1.614516129032258,10.536451612903226,14.712903225806452,-7.371504902679819,0.06331435800126502,23.785483870967745,3326.1207768419936,17.22698028673835,739.6999999999999
2008-02-01,11.437931034482759,16.348275862068967,7.337931034482759,22.0,2.2479310344827583,13.471379310344828,16.30344827586207,-6.38841257787448,0.10171633640193475,19.752068965517243,3345.8728458075107,17.10514120627858,684.3
2008-03-01,12.783870967741937,17.419354838709676,8.551612903225807,50.2,3.117096774193548,18.14548387096774,22.383870967741935,-5.042472644615302,0.06197011479510035,47.082903225806454,3392.9557490333173,17.16454980842912,586.7
2008-04-01,15.576666666666666,20.813333333333333,10.466666666666667,20.0,4.229666666666667,23.512999999999998,19.966666666666665,-2.249676945690572,0.21043117744610282,15.770333333333333,3408.7260823666506,17.23677203065134,481.2
2008-05-01,17.61935483870968,21.893548387096775,13.780645161290321,67.9,3.9803225806451614,22.260967741935485,20.36774193548387,-0.2069887736475593,0.05853415559772296,63.91967741935484,3472.6457597860053,17.165535471511557,539.9
2008-06-01,21.60666666666667,26.84333333333333,16.253333333333334,13.299999999999999,5.433666666666666,26.92233333333333,18.346666666666668,3.780323054309431,0.40549751243781096,7.8663333333333325,3480.5120931193387,17.171924360400446,553.2
2008-07-01,25.887096774193548,31.51290322580645,20.44193548387097,0.4,6.056774193548387,26.524838709677418,18.551612903225806,8.06075316183631,12.113548387096774,-5.656774193548387,3474.8553189257905,17.2356340378198,553.3000000000001
2008-08-01,25.874193548387098,31.493548387096773,20.483870967741936,9.700000000000001,5.668709677419354,24.63935483870968,17.938709677419357,8.04784993602986,0.5784397630019749,4.031290322580647,3478.8866092483713,17.203107156099367,560.4
2008-09-01,23.316666666666666,28.14333333333333,19.23,65.2,4.326666666666667,17.72233333333333,18.976666666666667,5.490323054309428,0.06625829504849413,60.873333333333335,3539.7599425817048,17.239773822766036,595.5
2008-10-01,19.02258064516129,23.432258064516127,15.464516129032257,105.9,2.730967741935484,13.887419354838709,16.538709677419355,1.1962370328040528,0.025763846622032866,103.16903225806452,3642.928974839769,17.25751575824991,569.4
2008-11-01,13.18,17.006666666666668,10.056666666666667,148.9,2.0506666666666664,10.289666666666667,20.866666666666667,-4.646343612357239,0.013762863534675613,146.84933333333333,3789.7783081731022,17.279182424916574,576.5
2008-12-01,10.074193548387097,13.83548387096774,7.238709677419355,141.4,1.3983870967741936,7.8670967741935485,20.474193548387095,-7.7521500639701415,0.009882594323492535,140.0016129032258,3929.779921076328,17.2361716722284,670.3000000000001
2009-01-01,10.490322580645161,13.858064516129032,7.625806451612903,122.0,1.609032258064516,8.821935483870968,24.32903225806452,-7.336021031712077,0.013177987371535757,120.39096774193548,4050.1708888182634,17.239128661475714,766.9000000000001
2009-02-01,10.107142857142858,14.492857142857144,6.382142857142857,20.5,2.3592857142857144,13.858928571428573,21.5,-7.719200755214381,0.11452843273231622,18.140714285714285,4068.3116031039776,17.12822964669739,765.4000000000001
2009-03-01,11.82258064516129,16.88064516129032,7.264516129032257,59.9,2.86741935483871,18.411612903225805,19.80322580645161,-6.003762967195948,0.04779032258064517,57.03258064516129,4125.344183749139,17.04812211981567,775.1
2009-04-01,13.516666666666667,17.766666666666666,9.693333333333333,80.1,3.2796666666666665,20.89,19.59,-4.309676945690571,0.040893599334995846,76.82033333333332,4202.164517082472,16.876455453149003,835.2
2009-05-01,19.274193548387096,24.42258064516129,14.035483870967743,31.7,5.022903225806452,25.917096774193546,17.6,1.4478499360298578,0.1579529316291337,26.677096774193547,4228.841613856665,17.014358678955453,799.0
2009-06-01,23.540000000000003,29.25,17.533333333333335,0.0,6.248333333333333,28.361,17.62,5.713656387642764,62.48333333333333,-6.248333333333333,4222.593280523332,17.175469790066565,785.6999999999999
2009-07-01,26.990322580645163,32.561290322580646,21.258064516129032,0.9,6.259354838709677,27.13,16.03548387096774,9.163978968287925,6.259354838709677,-5.3593548387096765,4217.233925684623,17.26740527393753,786.2
