Date,SARIMA,LSTM,Ridge,Prophet,RL_Best_Forecast,RL_Best_Forecast_Lower,RL_Best_Forecast_Upper,RL_Best_Forecast_Std,Model_Used
2025-09-01,139.61134259267277,148.92558,151.25858168887632,135.19484872812944,148.92558,136.01765545068233,161.83350454931767,6.585675790468206,LSTM
2025-10-01,112.84673130603464,107.01744,130.1537957929978,100.1807677264801,112.84673130603464,91.07420995463555,134.61925265743372,11.108429260917903,SARIMA
2025-11-01,70.89814854236148,73.58981,101.45898842660812,66.27791658966719,73.58981,46.6156806128044,100.5639393871956,13.762310911834492,LSTM
2025-12-01,64.97501776833128,59.26874,65.17415958970713,49.177938528049374,59.26874,46.540747651906955,71.99673234809305,6.493873646986247,LSTM
2026-01-01,59.7948705862787,56.965202,48.31479346145127,55.54368745720801,56.965202,47.73206365105952,66.19834034894048,4.710784871908407,LSTM
2026-02-01,66.74200146209223,61.41943,87.99476731093023,70.4550922676106,66.74200146209223,47.207471828895564,86.2765310952889,9.966596751630952,SARIMA
2026-03-01,97.58397455979096,78.48205,120.08471968989797,80.42652773718656,97.58397455979096,64.81297258719371,130.3549765323882,16.719898965610838,SARIMA
2026-04-01,129.85564400186104,109.131615,144.58465059835447,105.855976137414,129.85564400186104,98.90419817802567,160.8070898256964,15.791553991752743,SARIMA
2026-05-01,139.07157617049947,143.42145,161.49456003629973,132.81540698455828,143.42145,115.25714613319681,171.58575386680317,14.3695427891853,LSTM
2026-06-01,167.8256769840399,176.41241,170.8144480037338,165.18751167861203,176.41241,154.2039928338511,198.6208271661489,11.33082508476985,LSTM
2026-07-01,201.12868870939369,192.65372,172.54431450065664,188.91561020265164,192.65372,172.30584352651118,213.0015964734888,10.381569629331018,LSTM
2026-08-01,188.95469452893025,183.60611,166.68415952706823,171.97443129332734,183.60611,153.62998469329094,213.58223530670907,15.293941483014828,LSTM
2026-09-01,139.54721939944457,150.98438,153.2339830829686,127.8332088909526,150.98438,131.13126972401696,170.83749027598301,10.12913789590971,LSTM
2026-10-01,114.15094583473451,109.2771,132.19378516835775,91.83407307285096,114.15094583473451,85.97836934164194,142.32352232782708,14.373763516883967,SARIMA
2026-11-01,74.04203879864505,74.31272,103.56356578323572,59.85087875495709,74.31272,43.134937230407246,105.49050276959275,15.907032025302422,LSTM
2026-12-01,66.64409694448756,59.106197,67.3433249276024,42.87286369193887,59.106197,39.798982947730664,78.41341105226934,9.85061941442313,LSTM
2027-01-01,60.91306840056614,57.200386,49.87248053717013,47.88416438482224,57.200386,46.807365688424255,67.59340631157575,5.302561383457014,LSTM
2027-02-01,67.59458781618459,62.109005,89.6170423679167,62.9480880484711,67.59458781618459,45.65210885226256,89.53706678010661,11.195142328531647,SARIMA
2027-03-01,99.53663443719502,79.845375,121.77158272815208,81.10731636023291,99.53663443719502,66.17788809978315,132.8953807746069,17.019768539495853,SARIMA
2027-04-01,133.30687577231097,109.547386,146.33610161787627,103.8482732138801,133.30687577231097,99.38277618720866,167.23097535741329,17.308214074031795,SARIMA
2027-05-01,137.16501307809773,140.40477,163.3105990370892,133.4689812273668,140.40477,110.40451115505098,170.40502884494904,15.306254512729101,LSTM
2027-06-01,165.08726555372374,173.16098,172.6950749857909,160.96440798915614,173.16098,149.51282707333525,196.80913292666474,12.065384146257529,LSTM
2027-07-01,200.4568869721135,190.43948,174.4895294639814,192.0251534077012,190.43948,172.03895488687135,208.84000511312865,9.388023016902372,LSTM
2027-08-01,186.5742763353823,181.74074,168.69396247166063,169.4205772566087,181.74074,149.8421397120568,213.63934028794318,16.274796065277144,LSTM
2027-09-01,139.5203922590241,151.17601,155.30837400882865,122.43025430759704,151.17601,126.18335710032085,176.16866289967913,12.751353520244464,LSTM
2027-10-01,114.05127193656072,110.210724,134.33276407548547,88.04522675176307,114.05127193656072,81.8521892203245,146.25035465279694,16.42810342665113,SARIMA
2027-11-01,73.996720486652,75.61918,105.76713267163107,55.43861186262078,75.61918,40.26606457080342,110.97229542919658,18.03730379040642,LSTM
2027-12-01,67.56508738730393,59.893,69.61147979726542,41.09918741708287,59.893,37.847902909328035,81.93809709067196,11.247498515648962,LSTM
2028-01-01,62.2707754491332,57.19929,51.52915714465672,42.1745063122714,57.19929,42.57817618745315,71.82040381254684,7.459751945176964,LSTM
2028-02-01,68.92170689159396,61.229534,91.33830695667098,54.80244052260976,68.92170689159396,41.888346759942856,95.95506702324505,13.792530679413828,SARIMA
2028-03-01,99.46829388774093,77.60189,123.557435298174,82.28896737487247,99.46829388774093,64.16610490329595,134.7704828721859,18.011320910431117,SARIMA
2028-04-01,131.5863358832956,107.48551,148.18654216916582,102.1108465457539,131.5863358832956,95.13596116579598,168.0367106007952,18.59712995790797,SARIMA
2028-05-01,138.17021565694867,140.5962,165.2256275696464,134.8251222754203,140.5962,108.75495616326637,172.43744383673365,16.245532569762062,LSTM
2028-06-01,165.8180194535704,173.20782,174.6746914996158,166.18005468833516,173.20782,148.11598683128372,198.29965316871628,12.801955698324626,LSTM
2028-07-01,199.1951748954409,189.9178,176.5337339590739,186.31197529378863,189.9178,174.01477755747538,205.82082244252462,8.113786960471739,LSTM
2028-08-01,186.5676922090221,182.51927,170.80275494802083,169.4717157990341,182.51927,148.69292767607956,216.34561232392045,17.258337920367577,LSTM
2028-09-01,139.47459024240771,152.41254,157.4817544664565,122.2645392313352,152.41254,125.74156723939389,179.08351276060614,13.607639163574552,LSTM
2028-10-01,114.69417423219429,111.4839,136.57073251438098,91.64790761619922,114.69417423219429,83.46884580483112,145.91950265955745,15.931290013960803,SARIMA
2028-11-01,75.63368568378995,76.234695,108.06968909179425,52.18864814693777,76.234695,37.291267900945904,115.1781220990541,19.86909545870107,LSTM
2028-12-01,68.85690187569688,60.074654,71.9786241986962,38.36486290650984,60.074654,34.334296139178,85.81501186082201,13.132835643276533,LSTM
2029-01-01,63.46756366090288,57.425987,53.28482328391107,42.57939289873595,57.425987,42.493592859306176,72.35838114069382,7.618568439129502,LSTM
2029-02-01,69.96480028653978,61.44762,93.158561077193,57.612203473290506,69.96480028653978,42.91734492650288,97.01225564657669,13.79972212246781,SARIMA
2029-03-01,100.46702752783828,77.64454,125.4422773999637,90.3007109528906,100.46702752783828,66.07016148493537,134.8638935707412,17.549421450460667,SARIMA
2029-04-01,132.6359208264788,106.83909,150.13597225222318,107.6766447911946,132.6359208264788,97.05500433207183,168.2168373208858,18.153528823677032,SARIMA
2029-05-01,137.61487431922637,138.86542,167.2396456339714,142.8882839798089,138.86542,105.56783002692035,172.16300997307965,16.98856631279574,LSTM
2029-06-01,164.70141506528722,171.31316,176.75329754520843,169.48717608844274,171.31316,145.15570049141564,197.47061950858438,13.345642606420597,LSTM
2029-07-01,198.276637421626,188.49,178.6769279859342,196.778333913033,188.49,173.19112372245505,203.78887627754497,7.805549121196404,LSTM
2029-08-01,185.3099578764401,181.9316,173.01053695614877,174.5681676529786,181.9316,146.88313638021796,216.98006361978204,17.881869193766352,LSTM
2029-09-01,139.43995991135097,153.09543,159.7541244558521,123.45133543613882,153.09543,125.83197662140267,180.3588833785973,13.909925193161898,LSTM
