Date,SARIMA,LSTM,Ridge,Prophet,RL_Best_Forecast,RL_Best_Forecast_Lower,RL_Best_Forecast_Upper,RL_Best_Forecast_Std,Model_Used
2025-05-01,19.24895796249369,18.354504,22.03091975197949,19.501818930749835,18.354504,15.678188177397354,21.03081982260264,1.3654672564299204,LSTM
2025-06-01,23.53263126838312,23.51786,23.47025637344359,24.12115261804703,23.51786,22.22677292402519,24.808947075974807,0.658717895905515,LSTM
2025-07-01,26.96462483009275,27.031862,24.15199910618616,27.07436000361249,27.031862,24.59350089686897,29.47022310313103,1.24406178731175,LSTM
2025-08-01,27.15073826549904,26.724466,24.076147950207183,27.671161526928145,26.724466,24.00774419378093,29.44118780621907,1.3860825541934025,LSTM
2025-09-01,24.24038683771811,24.364746,23.24270290550668,24.902847159726694,24.364746,23.18932754748381,25.54016445251619,0.5997032921000978,LSTM
2025-10-01,20.745903268785625,20.330137,21.65166397208465,21.31696175607757,20.745903268785625,18.647600614320655,22.844205923250595,1.0705625788086581,SARIMA
2025-11-01,15.715883695416052,16.025614,19.303031149941084,16.26069015829611,16.025614,13.197463358524777,18.853764641475223,1.4429340007526654,LSTM
2025-12-01,12.73150161829875,13.080463,16.196804439075983,13.110386318528445,13.080463,10.329816347394932,15.831109652605068,1.4033911492882998,LSTM
2026-01-01,11.422779252559726,11.368383,8.870687353689977,11.892838958417698,11.368383,9.050106774885947,13.686659225114052,1.1827939924051292,LSTM
2026-02-01,11.86519821277718,10.832289,13.34905740282241,12.489732733325246,11.86519821277718,9.330217417304876,14.400179008249484,1.2933575487103595,SARIMA
2026-03-01,13.782273568648757,11.264446,17.069833563233303,13.13726190085946,13.782273568648757,9.675657543687569,17.888889593609946,2.095212257633259,SARIMA
2026-04-01,16.197114437515086,13.6440735,20.033015834922665,16.117489042558272,16.197114437515086,11.719409381936146,20.674819493094027,2.2845433957035413,SARIMA
2026-05-01,19.311411907676703,18.343145,22.238604217890497,18.71746122047845,18.343145,15.33964339645377,21.34664660354623,1.5323987773195056,LSTM
2026-06-01,23.59519910612639,23.249388,23.6865987121368,23.47247841814917,23.249388,21.92259940597633,24.576176594023668,0.6769329561345244,LSTM
2026-07-01,27.027283916287093,26.348463,24.376999317661564,26.65797428792844,26.348463,24.205866017460238,28.49105998253976,1.0931617257855928,LSTM
2026-08-01,27.213402300000894,27.136484,24.3098060344648,27.205488408198228,27.136484,24.695482388030936,29.577485611969063,1.2454089856985013,LSTM
2026-09-01,24.302973492974896,25.256361,23.485018862546497,24.67085451776788,25.256361,23.99752716072036,26.515194839279637,0.642262162897774,LSTM
2026-10-01,20.808397014128865,21.47067,21.90263780190666,20.70564614523887,20.808397014128865,18.605346784761558,23.01144724349617,1.1240052190649517,SARIMA
2026-11-01,15.778243704636626,16.968275,19.56266285254529,16.09013621446246,16.968275,14.053055136288615,19.883494863711384,1.4873570733221348,LSTM
2026-12-01,12.793782279977696,13.5788145,16.4650940144624,12.721698047829488,13.5788145,10.591089053455875,16.566539946544125,1.5243497176245533,LSTM
2027-01-01,11.485025118458603,11.4800005,9.05541617676954,11.764891624829891,11.4800005,9.328326896151626,13.631674103848372,1.0977926550246795,LSTM
