Date,SARIMA,LSTM,Linear,RL_Best_Forecast,Model_Used
2035-11-01,15.25981000691297,13.744377,16.343161171238947,15.25981000691297,SARIMA
2035-12-01,11.949824058038924,12.249311,13.359566701192866,11.949824058038924,SARIMA
2036-01-01,10.989332856508517,11.627745,12.05168693320819,10.989332856508517,SARIMA
2036-02-01,11.114923538484575,12.261199,12.493690133011736,11.114923538484575,SARIMA
2036-03-01,13.194330250539318,13.5336,14.410044704469192,13.194330250539318,SARIMA
2036-04-01,15.868760787514258,15.044466,16.823998761165186,15.868760787514258,SARIMA
2036-05-01,18.962365127499755,16.5594,19.937170804175945,18.962365127499755,SARIMA
2036-06-01,23.39261765908857,17.878988,24.21945330661973,23.39261765908857,SARIMA
2036-07-01,26.933316654777748,18.629774,27.650220657548378,26.933316654777748,SARIMA
2036-08-01,27.270398732714185,18.66694,27.83629103878005,27.270398732714185,SARIMA
2036-09-01,24.172239402521843,17.979738,24.929944576199645,24.172239402521843,SARIMA
2036-10-01,20.70210045138056,16.81668,21.434660398012245,20.70210045138056,SARIMA
2036-11-01,15.283739134601662,15.239143,16.405658861913935,15.283739134601662,SARIMA
2036-12-01,11.968562749124375,13.468776,13.422064391867853,11.968562749124375,SARIMA
2037-01-01,11.006565387517607,12.072924,12.114184623883176,11.006565387517607,SARIMA
2037-02-01,11.132353010049554,11.664801,12.556187823686722,11.132353010049554,SARIMA
2037-03-01,13.215020469695972,12.453038,14.472542395144178,13.215020469695972,SARIMA
2037-04-01,15.89364481968594,13.769479,16.88649645184017,15.89364481968594,SARIMA
2037-05-01,18.992100285159648,15.303301,19.999668494850926,18.992100285159648,SARIMA
2037-06-01,23.429299959502767,16.798235,24.281950997294715,23.429299959502767,SARIMA
2037-07-01,26.97555117624428,18.043713,27.71271834822336,26.97555117624428,SARIMA
2037-08-01,27.313161837438365,18.661228,27.898788729455035,27.313161837438365,SARIMA
2037-09-01,24.210144239012116,18.59041,24.992442266874633,24.210144239012116,SARIMA
2037-10-01,20.734563713039833,17.791302,21.49715808868723,20.734563713039833,SARIMA
2037-11-01,15.307705785899866,16.57793,16.46815655258892,15.307705785899866,SARIMA
2037-12-01,11.987330824621004,14.947998,13.484562082542835,11.987330824621004,SARIMA
2038-01-01,11.023824941106582,13.211806,12.17668231455816,11.023824941106582,SARIMA
2038-02-01,11.149809813019736,11.914873,12.618685514361708,11.149809813019736,SARIMA
2038-03-01,13.235743133483057,11.733169,14.535040085819164,13.235743133483057,SARIMA
2038-04-01,15.918567872866593,12.653636,16.948994142515158,15.918567872866593,SARIMA
2038-05-01,19.02188207094821,14.011281,20.06216618552591,19.02188207094821,SARIMA
2038-06-01,23.466039781960166,15.554512,24.344448687969702,23.466039781960166,SARIMA
2038-07-01,27.017851926271753,17.028185,27.775216038898343,27.017851926271753,SARIMA
2038-08-01,27.3559919996025,18.180342,27.961286420130023,27.3559919996025,SARIMA
2038-09-01,24.248108514622007,18.675087,25.054939957549617,24.248108514622007,SARIMA
2038-10-01,20.767077880806923,18.499826,21.559655779362217,20.767077880806923,SARIMA
2038-11-01,15.3317100196489,17.603756,16.530654243263903,15.3317100196489,SARIMA
2038-12-01,12.006128330606924,16.334558,13.547059773217825,12.006128330606924,SARIMA
2039-01-01,11.041111559649934,14.660915,12.239180005233148,11.041111559649934,SARIMA
2039-02-01,11.16729399025389,12.959867,12.681183205036692,11.16729399025389,SARIMA
2039-03-01,13.256498292777463,11.782917,14.59753777649415,13.256498292777463,SARIMA
2039-04-01,15.94353000824563,11.833301,17.011491833190142,15.94353000824563,SARIMA
2039-05-01,19.05171055798368,12.865965,20.1246638762009,19.05171055798368,SARIMA
2039-06-01,23.502837216661916,14.2619705,24.406946378644687,23.502837216661916,SARIMA
2039-07-01,27.060219008714135,15.800787,27.83771372957333,27.060219008714135,SARIMA
2039-08-01,27.398889324360333,17.241768,28.023784110805007,27.398889324360333,SARIMA
2039-09-01,24.286132322558856,18.298582,25.1174376482246,24.286132322558856,SARIMA
2039-10-01,20.799643034508428,18.681822,21.6221534700372,20.799643034508428,SARIMA
2039-11-01,15.355751894782337,18.390316,16.59315193393889,15.355751894782337,SARIMA
2039-12-01,12.024955313232514,17.428246,13.609557463892807,12.024955313232514,SARIMA
2040-01-01,11.05842528558861,16.090826,12.301677695908133,11.05842528558861,SARIMA
2040-02-01,11.184805584677996,14.362588,12.74368089571168,11.184805584677996,SARIMA
2040-03-01,13.277285998535866,12.721725,14.660035467169134,13.277285998535866,SARIMA
2040-04-01,15.968531287108409,11.679166,17.073989523865126,15.968531287108409,SARIMA
2040-05-01,19.08158581949896,11.9625435,20.187161566875883,19.08158581949896,SARIMA
2040-06-01,23.539692353950603,13.0793295,24.46944406931967,23.539692353950603,SARIMA
2040-07-01,27.102652527588234,14.511181,27.900211420248315,27.102652527588234,SARIMA
2040-08-01,27.441853917030492,16.039991,28.08628180147999,27.441853917030492,SARIMA
2040-09-01,24.32421575617617,17.444176,25.17993533889959,24.32421575617617,SARIMA
2040-10-01,20.83225925409612,18.3993,21.684651160712185,20.83225925409612,SARIMA
2040-11-01,15.379831470326176,18.678343,16.655649624613876,15.379831470326176,SARIMA
2040-12-01,12.043811818720512,18.276983,13.672055154567794,12.043811818720512,SARIMA
