Date,SARIMA,LSTM,Ridge,Prophet,RL_Best_Forecast,Model_Used
2025-09-01,24.24038683771811,24.364746,23.24270290550668,24.902847159726694,24.364746,LSTM
2025-10-01,20.745903268785625,20.330137,21.65166397208465,21.31696175607757,20.330137,LSTM
2025-11-01,15.715883695416052,16.025614,19.303031149941084,16.26069015829611,16.025614,LSTM
2025-12-01,12.73150161829875,13.080463,16.196804439075983,13.110386318528445,13.080463,LSTM
2026-01-01,11.422779252559726,11.368383,8.870687353689977,11.892838958417698,11.422779252559726,SARIMA
2026-02-01,11.86519821277718,10.832289,13.34905740282241,12.489732733325246,11.86519821277718,SARIMA
2026-03-01,13.782273568648757,11.264446,17.069833563233303,13.13726190085946,13.782273568648757,SARIMA
2026-04-01,16.197114437515086,13.6440735,20.033015834922665,16.117489042558272,13.6440735,LSTM
2026-05-01,19.311411907676703,18.343145,22.238604217890497,18.71746122047845,22.238604217890497,Ridge
2026-06-01,23.59519910612639,23.249388,23.6865987121368,23.47247841814917,23.249388,LSTM
2026-07-01,27.027283916287093,26.348463,24.376999317661564,26.65797428792844,27.027283916287093,SARIMA
2026-08-01,27.213402300000894,27.136484,24.3098060344648,27.205488408198228,27.213402300000894,SARIMA
2026-09-01,24.302973492974896,25.256361,23.485018862546497,24.67085451776788,25.256361,LSTM
2026-10-01,20.808397014128865,21.47067,21.90263780190666,20.70564614523887,21.47067,LSTM
2026-11-01,15.778243704636626,16.968275,19.562662852545294,16.09013621446246,16.968275,LSTM
2026-12-01,12.793782279977696,13.5788145,16.4650940144624,12.721698047829488,13.5788145,LSTM
2027-01-01,11.485025118458603,11.4800005,9.05541617676954,11.764891624829891,11.485025118458603,SARIMA
2027-02-01,11.927455841532137,10.779459,13.542444098684175,12.320345480699547,11.927455841532137,SARIMA
2027-03-01,13.844582167826616,11.253348,17.27187813187727,12.10846069154589,13.844582167826616,SARIMA
2027-04-01,16.259487241503653,13.57237,20.24371827634884,15.380023311902397,13.57237,LSTM
2027-05-01,19.373867513344724,18.046312,22.457964532098867,17.672003181329078,22.457964532098867,Ridge
2027-06-01,23.657768607392978,23.104696,23.914616899127367,22.448584803440227,23.104696,LSTM
2027-07-01,27.089944668434185,26.208067,24.613675377434333,25.984335430068587,27.089944668434185,SARIMA
2027-08-01,27.276068000588168,26.655254,24.55513996701977,26.356204482423102,27.276068000588168,SARIMA
2027-09-01,24.365561812260143,24.662579,23.73901066788367,24.003570920713457,24.662579,LSTM
2027-10-01,20.87089242103043,20.938358,22.16528748002604,19.71624452458106,20.938358,LSTM
2027-11-01,15.840605371859844,16.673645,19.833970403446877,15.491918422958726,16.673645,LSTM
2027-12-01,12.856064597549636,13.500509,16.745059438146175,11.955525796388836,13.500509,LSTM
2028-01-01,11.547272639325344,11.539376,9.251820848146467,11.2022042148971,11.547272639325344,SARIMA
2028-02-01,11.9897151255677,10.817823,13.747506642843302,11.724446026403736,11.9897151255677,SARIMA
2028-03-01,13.90689242364027,11.141918,17.4855985488186,12.386038440030788,13.90689242364027,SARIMA
2028-04-01,16.321861703835065,13.338042,20.46609656607237,15.061668430364826,13.338042,LSTM
2028-05-01,19.436324779557086,17.825352,22.6890006946046,18.01487257067642,22.6890006946046,Ridge
2028-06-01,23.720339772232112,22.7807,24.1543109344153,23.040646549004908,22.7807,LSTM
2028-07-01,27.15260708657997,26.017094,24.862027285504467,25.26161374542021,27.15260708657997,SARIMA
2028-08-01,27.338735367305706,26.973652,24.812149747872105,26.41702567692618,27.338735367305706,SARIMA
2028-09-01,24.428151795618263,25.28136,24.0046783215182,24.010091484188088,25.28136,LSTM
2028-10-01,20.93338948953456,21.6278,22.439613006442773,20.180264232552123,21.6278,LSTM
2028-11-01,15.902968697129802,17.226229,20.11695380264581,15.267597019524198,17.226229,LSTM
2028-12-01,12.918348571058605,13.790747,17.036700710127313,11.706710749504488,13.790747,LSTM
2029-01-01,11.609521815203951,11.616443,9.45990136782076,10.826460431396765,11.609521815203951,SARIMA
2029-02-01,12.051976064927889,10.780088,13.964245035299792,12.083651209288792,12.051976064927889,SARIMA
2029-03-01,13.96920433613376,11.092208,17.71099481405729,11.491532460593495,13.96920433613376,SARIMA
2029-04-01,16.384237824553413,13.211556,20.700150704093257,14.243295685400266,13.211556,LSTM
2029-05-01,19.498783706357944,17.583534,22.93171270540769,17.112932388320782,22.93171270540769,Ridge
